class,clean_text,date
1,fantastic spot even quite cocktail swell host yelp crew great drink menu super attentive staffid certainly recommend anything purred fruit apple really,2024-03-26
1,love love love calamari good spicy endless list martinis one better next first second floor prefer bar lounge atmosphere place like dinner drinks apps wonderful,2024-03-06
1,love place stiff martinis cocktails cheap drinks good service nice atmosphere chill upstairs lounge hang friends classy crowd much mature older professional crowd arent college frat boys belligerent drunks great nice place wind long day,2024-01-27
1,everything great cocktail bar great location ambiance cocktails chill environmentdisclaimer stars doesnt mean new york city good simple place flashy means id take girl beginning date opposite end spectrum talking business colleagues,2024-01-25
1,came pirates game around ish evening gotten lucky table open reservations night started come ordered chicken jerk sandwich side salad absolutely loved chicken perfect amount spice set sweet pineapple chutney sooo good salad even great used real green spring mix instead iceburg lettuce also loved put feta cheese top one favorite cheeses salad topping service great even though didnt drink night previous time yummy love place cant wait next visit,2024-03-13
1,olive twist historic site first martini turned many years ago long happy unionwhile olive twist five star restaurant gets stars love one places know consistantly good years interior warm little bit industrial downstairs always still nicethe drinks great although first martini ever girl doesnt forget wellthis one didnt pineapple upside martini dont think offer anymore expansive martini menu tried chipotle martini excellent took first sip sighed way bf turned sarcastically said oh youre going yelping arent refused let even try bc good minei also cake batter martini tasted great came looking pretty instagrammed picture immediately friends clicked like one aunt commented drink less whatever needs martinithe service great waitress lauren really cool good recommending drinksthe chipotle martini recommendation would never ordered ownwe buffalo chicken dip served martini glass really goodmy favorite thing menu tomato basil bisque soup rocking lunch hour past ten years delicious good lauren actually high fived brought true storymy bf chicken caprese wrap said excellent gone within minutes good signi highly recommend place lunch dinner cocktails date one favorite downtown lunch spots,2024-03-03
1,beautiful little bar exciting martini list step outside comfort zone try one crafted drinks,2024-01-06
1,favorite bar town love live music martinis fave strawberry shortcake,2024-01-02
1,location strip mall place diamond rough food best italian food anywhere live kansas city pretty large long standing italian populaiton food good old italian places kc everyone group amazed quality food price keep one list places come back az,2024-03-12
1,place openthe best food best service try butter nut squash ravioli fantastic,2024-01-29
1,cant say enough good things place owner wait staff genuinely friendly food great veal caprese wife canolone exceptional reasonably priced unlike chain italian restaurants portions reasonable instead supersized full stuffed finished also brought fourteen month old along dont kids menu cant call restaurant family friendly everyone really friendly family owner even stopped twice pinch sons cheeks live near considering becoming regulars,2024-02-02
1,husband want give six stars weve driven place year always talked going inso sorry waited long pretty little place service great warm butternut squash ravioli heaven every single bite back often plan take daughter next time dont think kids menu server said could spaghetti meatballs fettucine chicken perfect thank jennifer loved,2024-03-10
1,im still laughing reading poor maribeths review think maybe ex pay someone play awful joke like drugging taking wendys telling salute place best little neighborhood secret ever hope everyone reads believes maribeths review still get table friday nights without making reservation,2024-02-01
1,husband several times large functions always notice attentive wait staff really seem care dining experience appetizers love antipasto stuff mushrooms seafood salad butternut squash ravioli awesome everything weve tried strip mall location isnt particularly appealing good food excellent service keep us coming back,2024-01-10
1,good top notch calamari scampi appetizers excellent garlic breadentrees eggplant parm great lasagna excellent orange roughy capers artichokesamazing cheese tortellini cheese sauce also greatperfect service really ball waiter close hilton tapatio cliffs toocozy place nicely lit made forget strip mall locale,2024-03-25
1,saturday night salutes real treat live jazz duo sings quietly adds ambience local gem staff always friendly makes reference last trip makes feel special speaking specialtheir chicken florentine special mouthwatering im sure bottle chianti helpedbut loved experience,2024-02-05
